"domain","name","type","title","title_t","help","help_t"
,,"menu","All Contacts","Les contacts",,
,,"menu","Address Book","Carnet D'adresses",,
,,"menu","Business Contacts","Contact Professionnel",,
,,"menu","Circles","Cercles",,
,,"menu","Companies","Sociétés",,
,,"menu","Configuration","Configuration",,
,,"menu","Country","Pays",,
,,"menu","Family Members","Contact Personnel",,
,,"menu","My Friends","Mes Amis",,
,,"menu","Titles","Intitulés",,
"com.axelor.contact.db.Address","contact","field",,"Contact",,
"com.axelor.contact.db.Address","street","field",,"Rue",,
"com.axelor.contact.db.Address","area","field",,"Aire",,
"com.axelor.contact.db.Address","city","field",,"Ville",,
"com.axelor.contact.db.Address","zip","field",,"Code postal",,
"com.axelor.contact.db.Address","country","field",,"Pays",,
"com.axelor.contact.db.Circle","code","field",,"Code",,
"com.axelor.contact.db.Circle","name","field",,"Nom",,
"com.axelor.contact.db.Company","code","field",,"Code",,
"com.axelor.contact.db.Company","name","field",,"Nom",,
"com.axelor.contact.db.Company","parent","field",,"Parent",,
"com.axelor.contact.db.Company","employees","field",,"Employés",,
"com.axelor.contact.db.Company","circles","field",,"Cercles",,
"com.axelor.contact.db.Company","notes","field",,"notes",,
"com.axelor.contact.db.Contact","title","field",,"Intitulé",,
"com.axelor.contact.db.Contact","firstName","field",,"Prénom",,
"com.axelor.contact.db.Contact","lastName","field",,"Nom de famille",,
"com.axelor.contact.db.Contact","fullName","field",,"Nom complet",,
"com.axelor.contact.db.Contact","email","field",,"Email",,
"com.axelor.contact.db.Contact","phone","field",,"Téléphone",,
"com.axelor.contact.db.Contact","dateOfBirth","field",,"Date d'anniverssaire",,
"com.axelor.contact.db.Contact","addresses","field",,"Adresses",,
"com.axelor.contact.db.Contact","circle","field",,"Cercle",,
"com.axelor.contact.db.Contact","notes","field",,"Notes",,
"com.axelor.contact.db.Contact","image","field","Photo","Photo","Max size 4MB.","Taile max : 4MB"
"com.axelor.contact.db.Contact","company","field",,"Société",,
"com.axelor.contact.db.Country","code","field",,"Code",,
"com.axelor.contact.db.Country","name","field",,"Nom",,
"com.axelor.contact.db.Title","code","field",,"Code",,
"com.axelor.contact.db.Title","name","field",,"Nom",,
"com.axelor.contact.db.Address",,"view","Address","Adre",,
"com.axelor.contact.db.Address",,"view","Address List","Les Adresses",,
"com.axelor.contact.db.Circle",,"view","Circle","Cercle",,
"com.axelor.contact.db.Circle",,"view","Circles","Cercles",,
"com.axelor.contact.db.Company",,"view","Company","Société",,
"com.axelor.contact.db.Company",,"page","Employees","Employés",,
"com.axelor.contact.db.Contact",,"view","Employees","Employés",,
"com.axelor.contact.db.Company",,"page","Groups","Groupes",,
"com.axelor.contact.db.Company",,"viewField","Circles","Cercles",,
"com.axelor.contact.db.Circle",,"view","Circles","Cercles",,
"com.axelor.contact.db.Company",,"page","Notes","Notes",,
"com.axelor.contact.db.Company",,"view","Companies","Sociétés",,
"com.axelor.contact.db.Contact",,"view","Contact","Contact",,
"com.axelor.contact.db.Contact",,"group","Personal Information","Information Personnel",,
"com.axelor.contact.db.Contact",,"group","Actions","Actions",,
"com.axelor.contact.db.Contact",,"button","Send Greetings...","Envoyer Salutations",,
"com.axelor.contact.db.Contact",,"button","Home Page...","Page D'acceuil",,
"com.axelor.contact.db.Contact",,"button","Company List...","Liste sociétés",,
"com.axelor.contact.db.Contact",,"button","Demonstrate how to open new view from action.","Montre comment ouvrir un vue formulaire depuis une action",,
"com.axelor.contact.db.Contact",,"page","Address List","Les Adresses",,
"com.axelor.contact.db.Contact",,"viewField","Address List","Listes d'adresses",,
"com.axelor.contact.db.Address",,"view","Address List","Les Adresses",,
"com.axelor.contact.db.Address",,"view","Address","Adresses",,
"com.axelor.contact.db.Address",,"button","Click Me!","Cliquer ici!",,
"com.axelor.contact.db.Contact",,"page","Notes","Notes",,
"com.axelor.contact.db.Contact",,"view","Contacts","Contacts",,
"com.axelor.contact.db.Address",,"view","Address List","Les Adresses",,
