"domain","name","type","title","title_t","help","help_t"
"menu-dyn","My Menu","menu","My Menu","","",""
"menu-dyn-archive","Archive","menu","Archive","","",""
"menu-dyn-inbox","Inbox","menu","Inbox","","",""
"menu-dyn-messages","All Messages","menu","All Messages","","",""
"menu-dyn-product","All Products","menu","All Products","","",""
"com.axelor.dyn.db.DynMessage","author","field","","","",""
"com.axelor.dyn.db.DynMessage","recipients","field","","","",""
"com.axelor.dyn.db.DynMessage","parent","field","","","",""
"com.axelor.dyn.db.DynMessage","replies","field","","","",""
"com.axelor.dyn.db.DynMessage","subject","field","","","",""
"com.axelor.dyn.db.DynMessage","date","field","","","",""
"com.axelor.dyn.db.DynMessage","body","field","","","",""
"com.axelor.dyn.db.DynMessage","unread","field","","","",""
"com.axelor.dyn.db.DynMessage","starred","field","","","",""
"product.color.selection","black","select","Black","Noir","",""
"product.color.selection","white","select","White","Blanc","",""
"product.color.selection","gray","select","Gray","Gris","",""
"com.axelor.dyn.db.DynMessage","dyn-message-form","form","Message","","",""
"dyn-message-form","","page","Body","","",""
"dyn-message-form","","page","Replies","","",""
"com.axelor.dyn.db.DynMessage","","form","Reply","","",""
"com.axelor.dyn.db.DynMessage","dyn-message-form","form","DynMessage","","",""
"com.axelor.dyn.db.DynMessage","dyn-message-form2","form","Message","","",""
"dyn-message-form2","","label","to","","",""
"dyn-message-form2","","label"," &nbsp;•","","",""
"dyn-message-form2","btnSend","button","Send","","",""
"dyn-message-form2","btnCancel","button","Cancel","","",""
"com.axelor.dyn.db.DynMessage","dyn-message-form3","form","Message","","",""
"dyn-message-form3","btnSend","button","Send","","",""
"com.axelor.dyn.db.DynMessage","dyn-message-grid","grid","Messages","","",""
"com.axelor.dyn.db.DynMessage","dyn-message-grid","grid","DynMessage","","",""
"com.axelor.sale.db.Product","product-form","form","Product","Produit","",""
"dyn.messages.all","dyn.messages.all","action","All Messages","","",""
"dyn.messages.in","dyn.messages.in","action","Inbox","","",""
"dyn.products","dyn.products","action","Products","Produits","",""
