"domain","name","type","title","title_t"
"menu-sales","Sales Management","menu","Sales Management","Ventes"
"menu-sales-config","Configuration","menu","Configuration","Configuration"
"menu-sales-order","Sale Orders","menu","Sale Orders","Commande"
"menu-sales-product","Products","menu","Products","Produits"
"menu-sales-product-category","Product Categories","menu","Product Categories","Catégories de produits"
"menu-sales-search","Sales Search...","menu","Sales Search...","Recherche commande..."
"menu-sales-taxes","All Taxes","menu","All Taxes","Les Taxes"
"category-1","category-1","actionMenu","Category 1","Catégorie 1"
"category-2","category-2","actionMenu","Category 2","Catégorie 2"
"create-partner","create-partner","actionMenu","Create Partner...","Créer Contact..."
"create-partner-12","create-partner-12","actionMenu","Create Partner... (12)","Créer Contact... (12)"
"create-partner-13","create-partner-13","actionMenu","Create Partner... (13)","Créer Contact... (13)"
"create-partner-22","create-partner-22","actionMenu","Create Partner... (22)","Créer Contact... (22)"
"create-sale-order","create-sale-order","actionMenu","Create Sale Order...","Créer Commande..."
"create-sale-order-13","create-sale-order-13","actionMenu","Create Sale Order... (13)","Créer Commande... (13)"
"create-sale-order-21","create-sale-order-21","actionMenu","Create Sale Order... (21)","Créer Commande... (21)"
"sub-category-11","sub-category-11","actionMenu","Sub Category 11","Sous-catégorie 11"
"sub-category-12","sub-category-12","actionMenu","Sub Category 12","Sous-catégorie 12"
"sub-category-13","sub-category-13","actionMenu","Sub Category 13","Sous-catégorie 13"
"sub-category-21","sub-category-21","actionMenu","Sub Category 21","Sous-catégorie 21"
"sub-category-22","sub-category-22","actionMenu","Sub Category 22","Sous-catégorie 22"
"com.axelor.sale.db.Order","customer","field",,"Client"
"com.axelor.sale.db.Order","name","field",,"Nom"
"com.axelor.sale.db.Order","orderDate","field",,"Date de commande"
"com.axelor.sale.db.Order","createDate","field",,"Date de création"
"com.axelor.sale.db.Order","confirmDate","field",,"Date de confirmation"
"com.axelor.sale.db.Order","confirmed","field",,"Confirmé ?"
"com.axelor.sale.db.Order","amount","field",,"Montant"
"com.axelor.sale.db.Order","taxAmount","field",,"Total Taxes"
"com.axelor.sale.db.Order","totalAmount","field",,"Montant Total"
"com.axelor.sale.db.Order","notes","field",,"Notes"
"com.axelor.sale.db.Order","items","field",,"Articles"
"com.axelor.sale.db.OrderLine","order","field",,"Commande"
"com.axelor.sale.db.OrderLine","product","field",,"Produit"
"com.axelor.sale.db.OrderLine","price","field",,"Prix"
"com.axelor.sale.db.OrderLine","quantity","field",,"Quantité"
"com.axelor.sale.db.OrderLine","taxes","field",,"Taxes"
"com.axelor.sale.db.Product","code","field",,"Code"
"com.axelor.sale.db.Product","name","field",,"Nom"
"com.axelor.sale.db.Product","color","field",,"Couleur"
"com.axelor.sale.db.Product","category","field",,"Catégorie"
"com.axelor.sale.db.ProductCategory","code","field",,"Code"
"com.axelor.sale.db.ProductCategory","name","field",,"Nom"
"com.axelor.sale.db.ProductCategory","parent","field",,"Parent"
"com.axelor.sale.db.Tax","code","field",,"Code"
"com.axelor.sale.db.Tax","name","field",,"Nom"
"com.axelor.sale.db.Tax","rate","field",,"Taux"
"product.color.selection","black","select","Black","Noir"
"product.color.selection","white","select","White","Blanc"
"product.color.selection","gray","select","Gray","Gris"
"product.color.selection","red","select","Red","Rouge"
"product.color.selection","green","select","Green","Vert"
"product.color.selection","blue","select","Blue","Bleu"
"product.color.selection","yellow","select","Yellow","Jaune"
"product.color.selection","chocolate","select","Chocolate","Chocolat"
"product.color.selection","orange","select","Orange","Orange"
"product.color.selection","purple","select","Purple","Violet"
"chart.sales.by.customer","chart.sales.by.customer","chart","Sales by customer","Chiffre d'affaires par client"
"chart.sales.per.month","chart.sales.per.month","chart","Sales per month","Chiffre d'affaires par mois"
"chart.sales.per.month.pie","chart.sales.per.month.pie","chart","Sales per customer","Chiffre d'affaires par client"
"com.axelor.sale.db.Order","order-form","form","Order","Commande"
"order-form",,"separator","Order Details","Détails"
"com.axelor.contact.db.Contact",,"form","Customer","Client"
"order-form",,"page","Items","Articles"
"com.axelor.sale.db.OrderLine",,"grid","Items","Articles"
"com.axelor.sale.db.OrderLine",,"form","Ordered Item","Articles"
,,"page","Taxes","Les Taxes"
"com.axelor.sale.db.Tax",,"grid","Taxes","Les Taxes"
"order-form",,"page","Notes","Notes"
