"key","message","comment","context"
"&nbsp;•","","","resources/views/DynMessage.xml:51"
"All Messages","","","resources/views/Menu.xml:14
resources/views/Menu.xml:29"
"All Products","","","resources/views/Menu.xml:7"
"Archive","","","resources/views/Menu.xml:16"
"Author","","","resources/domains/DynMessage.xml:9"
"Black","","","resources/views/Product.xml:6"
"Body","","","resources/domains/DynMessage.xml:15"
"Cancel","","","resources/views/DynMessage.xml:62"
"Contact","","","resources/views/DynMessage.xml:7"
"Date","","","resources/domains/DynMessage.xml:14"
"Gray","","","resources/views/Product.xml:8"
"Inbox","","","resources/views/Menu.xml:18
resources/views/Menu.xml:15"
"Message","","","resources/views/DynMessage.xml:32
resources/views/DynMessage.xml:23
resources/views/DynMessage.xml:67
resources/views/DynMessage.xml:16"
"Messages","","","resources/views/DynMessage.xml:11"
"My Menu","","","resources/views/Menu.xml:6"
"Notes","","","resources/views/ProjectTask.xml:34"
"Overview","","","resources/views/DynMessage.xml:17
resources/views/ProjectTask.xml:17"
"Page 1","","","resources/views/Product.xml:17"
"Page 2","","","resources/views/Product.xml:18"
"Page 3","","","resources/views/Product.xml:19"
"Parent","","","resources/domains/DynMessage.xml:11"
"Product","","","resources/views/Product.xml:11"
"Products","","","resources/views/Menu.xml:9"
"Project","","","resources/views/ProjectTask.xml:16"
"Project Tasks","","","resources/views/ProjectTask.xml:5"
"Recipients","","","resources/domains/DynMessage.xml:10"
"Reference","","","resources/views/DynMessage.xml:20
resources/domains/DynMessage.xml:18"
"Reference model","","","resources/domains/DynMessage.xml:19"
"Replies","","","resources/domains/DynMessage.xml:12"
"SaleOrder","","","resources/views/DynMessage.xml:8"
"Send","","","resources/views/DynMessage.xml:73
resources/views/DynMessage.xml:60"
"Starred","","","resources/domains/DynMessage.xml:17"
"Subject","","","resources/domains/DynMessage.xml:13"
"Unread","","","resources/domains/DynMessage.xml:16"
"White","","","resources/views/Product.xml:7"
"to","","","resources/views/DynMessage.xml:49"
