"key","message","comment","context"
"&nbsp;•","","","resources/views/DynMessage.xml:54"
"All Messages","","","resources/views/Menu.xml:14
resources/views/Menu.xml:29"
"All Products","","","resources/views/Menu.xml:7"
"Archive","","","resources/views/Menu.xml:16"
"Author","","","resources/domains/DynMessage.xml:9"
"Black","Noir","","resources/views/Product.xml:6"
"Body","","","resources/domains/DynMessage.xml:15
resources/views/DynMessage.xml:21"
"Cancel","","","resources/views/DynMessage.xml:65"
"Contact","","","resources/views/DynMessage.xml:7"
"Date","","","resources/domains/DynMessage.xml:14"
"Gray","Gris","","resources/views/Product.xml:8"
"Inbox","","","resources/views/Menu.xml:18
resources/views/Menu.xml:15"
"Message","","","resources/views/DynMessage.xml:70
resources/views/DynMessage.xml:35
resources/views/DynMessage.xml:16"
"Messages","","","resources/views/DynMessage.xml:11"
"My Menu","","","resources/views/Menu.xml:6"
"Notes","","","resources/views/ProjectTask.xml:28"
"Page 1","","","resources/views/Product.xml:15"
"Page 2","","","resources/views/Product.xml:16"
"Page 3","","","resources/views/Product.xml:17"
"Parent","","","resources/domains/DynMessage.xml:11"
"Product","Produit","","resources/views/Product.xml:11"
"Products","Produits","","resources/views/Menu.xml:9"
"Project","","","resources/views/ProjectTask.xml:16"
"Project Tasks","","","resources/views/ProjectTask.xml:5"
"Recipients","","","resources/domains/DynMessage.xml:10"
"Reference","","","resources/views/DynMessage.xml:19
resources/domains/DynMessage.xml:18"
"Reference model","","","resources/domains/DynMessage.xml:19"
"Replies","","","resources/domains/DynMessage.xml:12
resources/views/DynMessage.xml:24"
"Reply","","","resources/views/DynMessage.xml:26"
"SaleOrder","","","resources/views/DynMessage.xml:8"
"Send","","","resources/views/DynMessage.xml:76
resources/views/DynMessage.xml:63"
"Starred","","","resources/domains/DynMessage.xml:17"
"Subject","","","resources/domains/DynMessage.xml:13"
"Tasks","","","resources/views/ProjectTask.xml:25"
"Unread","","","resources/domains/DynMessage.xml:16"
"White","Blanc","","resources/views/Product.xml:7"
"to","","","resources/views/DynMessage.xml:52"
