"key","message","comment","context"
"All Products","Les produits",,
"Custom Menu","Menu personnalisé",,
"Cyan","Cyan",,
"Enable maintenance mode",Activer le mode maintenance,,
"Group",Groupe,,
"Page 1","Page 1",,
"Page 2","Page 2",,
"Page 3","Page 3",,
"Product","Produit",,
"Products","Produits",,
"Progress","Progression",,
"Project","Project",,
"Project Tasks","Taches",,
"Projects","Projets",,
"Teal","Sarcelle",,
"This will enable maintenance mode for this group. Users belonging to this group will not be able to log in.",Cela activera le mode maintenance pour ce groupe. Les utilisateurs appartenant à ce groupe ne pourront pas se connecter.,,
"Title","Titre",,
